index,division,state,namesake,created,abolished,isfed,ispm,iscol,isfem,isind,isgeo,isaus
HUME,Hume,New South Wales,"Hamilton Hume, 1797–1873",11/12/2000,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
HWKE,Hawke,Victoria,"Hon. Robert James Lee Hawke AC, 1929–2019",26/07/2021,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
INDI,Indi,Victoria,"Murray River/Indi, Ngarigo, Yaitmathang and Dhudhuroa Country",08/10/2000,,FALSE,,,,,TRUE,TRUE
ISAC,Isaacs,Victoria,"Sir Isaac Alfred Isaacs GCB GCMG KCMG PC QC, 1855–1948",21/11/1968,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
JAGA,Jagajaga,Victoria,"Jika Jika, Jacky Jacky and Jaga Jaga (Billibellary), c.1799–1846",14/09/1984,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
KFDS,Kingsford Smith,New South Wales,"Sir Charles Edward Kingsford Smith MC AFC, 1897–1935",11/05/2049,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
KNDY,Kennedy,Queensland,"Edmund Besley Court Kennedy, 1818–48",28/12/2000,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
KOOY,Kooyong,Victoria,"Suburb of Kooyong, est. 1890",08/10/2000,,TRUE,,,,,TRUE,TRUE
KSTN,Kingston,South Australia,"Charles Cameron Kingston, 1850–1908",11/05/2049,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
LALR,Lalor,Victoria,"Peter Lalor, 1827–89",11/05/2049,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
LCHT,Leichhardt,Queensland,"Friedrich Wilhelm Ludwig Leichhardt, 1813–48",11/05/2049,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
LDSY,Lindsay,New South Wales,"Norman Alfred Lindsay, 1879–1969",11/10/1984,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
LGMN,Longman,Queensland,"Irene Maud Longman, 1877–1964",01/12/1994,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
LLLY,Lilley,Queensland,"Sir Charles Lilley, 1827–97",01/02/2013,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
LNGI,Lingiari,Northern Territory,"Vincent Lingiari AM, 1908 or 1919–88",21/12/2000,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
LTRB,La Trobe,Victoria,"Charles Joseph La Trobe, 1801–75",11/05/2049,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
LYNE,Lyne,New South Wales,"Sir William John Lyne, 1844–1913",11/05/2049,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
