index,division,state,namesake,created,abolished,isfed,ispm,iscol,isfem,isind,isgeo,isaus,islinked
NCHL,Nicholls,Victoria,"The Hon Sir Douglas Ralph Nicholls KCVO OBE, 1906–88; Gladys Naby Muriel Nicholls Lady Nicholls, 1906–81",13/07/2018,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,N/A
OCNR,O'Connor,Western Australia,"Charles Yelverton O'Connor CMG, 1843–1902",28/02/1980,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
OXLY,Oxley,Queensland,"Lt John Joseph William Molesworth Oxley, 1784–1828",11/05/1949,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
PAGE,Page,New South Wales,"Rt Hon Sir Earle Christmas Grafton Page GCMG CH FRCS, 1880–1961",11/10/1984,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
PRKS,Parkes,New South Wales,"The Hon Sir Henry Parkes GCMG, 1815–96",11/10/1984,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
PMTA,Parramatta,New South Wales,"City of Parramatta / Burramatta, Dharug Country",11/12/1900,,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
PTSN,Paterson,New South Wales,"Col William Paterson FRS, 1755–1810; Andrew Barton ""Banjo"" Paterson CBE, 1864–1941",31/01/1992,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PRCE,Pearce,Western Australia,"Rt Hon Sir George Foster Pearce KVCO, 1870–1952",31/03/1989,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PRTH,Perth,Western Australia,"City of Perth / Boorloo, Nyungar Country",05/12/1900,,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
PTRI,Petrie,Queensland,"Andrew Petrie, 1798–1872",11/05/1949,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
RNKN,Rankin,Queensland,"The Hon Dame Annabelle Jane Mary Rankin DBE, 1908–86",13/09/1984,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,N/A
REID,Reid,New South Wales,"Rt Hon Sir George Houstoun Reid GCB GCMG KC, 1845–1918",13/09/1922,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
RCHM,Richmond,New South Wales,"Richmond River, Githabul Country",11/12/1900,,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,FALSE
RIVA,Riverina,New South Wales,"Riverina region, Wiradjuri Country",31/01/1992,,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
ROBN,Robertson,New South Wales,"The Hon Sir John Robertson KCMG, 1816–91",11/12/1900,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
RYAN,Ryan,Queensland,"The Hon Thomas Joseph Ryan KC, 1876–1921",11/05/1949,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
SCLN,Scullin,Victoria,"Rt Hon James Henry Scullin, 1876–1953",21/11/1968,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
SHTL,Shortland,New South Wales,"Capt John Shortland, 1769–1810",11/05/1949,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
SLMN,Solomon,Northern Territory,"The Hon Vaiben Louis Solomon, 1853–1908",21/12/2000,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
